1000 400 100
492 29 853 0
311 69 755 0
258 54 1607 0
793 35 1908 0
156 12 671 0
815 54 635 0
296 98 861 0
392 99 1911 0
302 30 1461 0
991 3 409 0
359 86 1545 1
880 23 1759 0
987 35 1123 0
551 35 1738 1
58 36 1456 0
581 19 1522 1
781 76 461 0
587 11 1589 0
535 81 1320 0
413 73 973 0
553 48 1088 1
768 5 1302 0
907 67 1460 0
464 81 745 1
896 16 469 0
975 96 453 0
182 29 667 0
615 39 579 1
606 73 834 0
99 99 1840 1
15 13 1087 0
366 13 1772 1
992 1 903 0
874 96 932 0
612 24 673 0
738 5 1846 1
364 7 1093 0
649 50 1627 1
216 76 1701 1
779 68 1851 0
272 92 1098 1
662 60 725 0
371 57 1640 0
299 72 995 1
432 23 1823 0
137 27 827 0
353 98 1540 1
477 36 1602 0
14 80 1436 0
365 16 434 0
363 87 1613 0
577 81 1386 0
669 100 1073 0
165 98 1876 1
48 70 640 0
532 41 831 0
584 82 1194 0
676 57 1475 0
848 93 429 0
546 57 1599 0
598 10 677 0
998 22 1245 0
538 72 1831 0
382 77 1285 0
40 12 622 0
710 69 1262 1
501 61 1220 1
657 69 427 0
440 24 598 0
343 7 1814 1
947 68 1427 0
380 44 1557 0
280 35 1641 0
901 69 541 0
25 39 1364 0
822 99 1500 1
340 33 1235 1
70 2 611 0
383 93 829 0
834 62 1917 1
306 88 949 0
762 94 603 0
358 98 432 0
39 13 1293 1
755 27 1404 0
743 81 1761 1
454 97 539 0
505 54 668 0
73 89 982 0
177 63 711 0
442 82 588 0
270 49 1061 0
647 3 1504 0
572 71 1040 1
754 82 1287 0
979 9 1481 1
720 3 914 0
398 70 1337 1
500 22 1004 1
750 44 812 0
163 14 1989 1
898 35 1052 0
682 12 408 0
322 3 1575 0
465 64 1433 0
309 94 554 0
416 12 1667 0
75 6 1955 1
514 87 1173 0
23 9 943 0
832 53 1527 0
5 9 623 0
821 3 1247 0
932 49 1057 0
639 14 1519 1
112 64 1324 0
35 65 482 0
350 70 749 0
369 93 1926 1
21 27 916 0
422 84 530 0
515 18 1711 0
225 11 661 0
983 55 1476 0
545 61 1903 1
608 73 1049 0
49 70 947 0
509 71 403 1
90 14 1385 1
592 64 669 0
190 26 1512 1
74 57 777 0
499 32 956 0
800 7 1723 0
764 84 1536 0
135 88 1652 0
785 39 850 0
520 14 1063 1
530 24 844 0
675 9 1684 1
628 51 1327 1
28 35 1991 1
670 28 867 0
650 33 1785 1
303 88 1938 1
91 69 881 0
367 73 872 0
702 9 663 0
988 6 1598 1
411 32 439 0
855 60 1114 0
795 2 1071 1
621 68 626 0
189 47 1111 0
610 43 1140 0
227 79 1264 0
235 42 557 0
889 40 426 0
396 42 1402 0
316 62 936 1
169 30 1713 1
218 3 536 1
824 80 631 0
794 40 854 0
977 6 1623 1
241 54 646 1
865 5 1985 1
13 49 1770 0
717 68 1865 0
175 27 1944 1
192 9 1801 0
204 81 1975 1
399 14 1109 1
842 31 1896 1
72 30 675 0
186 63 1925 1
213 22 486 0
393 59 514 0
734 22 1179 1
812 52 779 0
141 3 688 0
744 20 1705 1
746 6 483 0
705 72 964 0
265 51 401 0
748 77 1945 1
565 40 1518 1
804 16 664 0
378 49 612 1
278 42 920 0
602 12 1471 0
902 65 1103 1
93 19 1416 1
654 55 1664 0
860 68 1794 1
691 99 878 0
374 88 1405 0
387 43 1728 0
249 96 728 0
415 12 886 0
333 10 1145 1
526 64 1714 1
128 70 1010 0
933 43 629 0
490 81 529 0
215 80 471 0
360 40 1560 1
445 27 1058 0
318 67 835 0
444 12 925 0
996 2 701 1
909 80 814 0
908 18 877 0
287 67 803 1
963 40 863 0
184 86 1225 1
594 81 1150 1
695 57 731 0
167 48 1294 1
980 8 1730 1
536 27 1931 1
